Word,Definition,Notes,Valence
august,worthy of respect,"Lt. augeo ""increase""",Positive
probity,integrity,"Lt. probus ""good""",Positive
inviolate,free from violation,,Positive
approbation,approval,"doublet of ""approval""",Positive
comity,courtesy; mutual civility,,Positive
deportment,a person's behavior or manners,,Positive
equanimity,mental composure esp. in difficult situation,"Lt. aequ-animus ""equal mind""",Positive
stolid,"calm, dependable, showing little emotion","Lt. stolidus ""stupid, foolish"" ? ""calm""",Positive
phlegmatic,"unemotional, stolid disposition",4 humors: phlegmatic - choleric - melancholic - sanguine,Positive
aplomb,self-confidence in a demanding situation,"Fr. fil à plomb ""plumb line""",Positive
canny,shrewdness & good judgment,"Eng. can ""know""; cf. Ger. kennen, Scots ken",Positive
pellucid,translucently clear; easily understood,Zona pellucida = transparent zone in egg,Positive
limpid,completely clear,"same root as ""lamp""",Positive
sedulous,showing dedication and diligence,"Lt. sedulus ""zealous""",Positive
pertinacious,holding firmly to some conviction,"Lt. pertinax ""holding fast""",Positive
mettlesome,full of spirit and courage,"Beware not ""nettlesome""",Positive
panache,flamboyant confidence,"Lt. pinna ""feather""",Positive
alacrity,cheerful readiness,"Lt. alacer ""brisk""",Positive
jocund,cheerful and lighthearted,"Lt. jucundus ""pleasant""; Mona Lisa is ""La Joconde""",Positive
raillery,good-humored teasing,,Positive
salubrious,health-giving; healthy; pleasant,Hollow Knight Salubra,Positive
salutary,beneficial; health-giving,,Positive
munificent,more generous than necessary (of a gift),,Positive
largesse,generosity in giving,,Positive
propitious,favorable,,Positive
exculpate,show that sb is not guilty,exculpatory evidence,Positive
aver,assert to be true,"Lt. ad-verus ""toward-truth""",Neutral
brook,tolerate or allow,"Ger. brauchen ""need""",Neutral
forestall,prevent by acting in advance,,Neutral
abate,subside; remove,"OF abatre ""fell""; noise abatement; abattoir",Neutral
obviate,remove or prevent a problem,"cf. Lt. via ""way""",Neutral
extemporize,improvise,,Neutral
retrench,reduce in response to economic difficulty,"Fr. trancher ""cut""",Neutral
stanch,stop bleeding from a wound,doublet of staunch,Neutral
apposite,appropriate,,Neutral
apropos,with regard to; appropriate,Fr. à propos de qqc,Neutral
expatiate,speak or write at great length,"""expatiate on sth""",Neutral
synoptic,forming a general summary or synopsis,,Neutral
allusive,working by allusion,,Neutral
mordant,"biting, sharp (of humor)","Fr. mordre ""bite""",Neutral
dirge,a lament for the dead,"Lt. dirige ""direct""",Neutral
fungible,interchangeable; replaceable,Non-fungible token,Neutral
recondite,little known; abstruse,"Lt. reconditus ""hidden""",Neutral
sinecure,a job with status but little work,"Lt. sine cura ""without care""",Neutral
manacle,handcuffs,,Neutral
supplicate,ask or beg humbly,supplication to God,Neutral
obeisance,deferential respect,OF obeissance,Neutral
predilection,a bias or preference for sth,"Lt. diligere ""love""",Neutral
recant,renounce former beliefs,,Neutral
abjure,solemnly renounce a belief,,Neutral
antedate,precede in time,,Neutral
prefigure,be an early indicator of sth,,Neutral
erstwhile,former,"Genshin Impact: Dvalin, erstwhile king of the skies",Neutral
evanescent,quickly fading or disappearing,"cf. ""vanish""",Neutral
abeyance,a state of temporary disuse,"Fr. abeier ""wait for""",Neutral
inveterate,long-established and difficult to change,,Neutral
staid,respectable and unadventurous,"past participle of ""stay""",Neutral
modish,conforming to current fashion,"Fr. mode ""fashion""",Neutral
apogee,highest point; climax,"Gk. apo-gaia ""away from earth""",Neutral
zenith,highest point; climax,,Neutral
nadir,lowest point of one's fortunes,,Neutral
nonplussed,so surprised one cannot react; or unperturbed,the two senses are antonyms,Neutral
chary,cautiously reluctant to do sth,"""chary of doing sth""",Neutral
eluctable,avoidable,cf. ineluctable,Neutral
abreast,alongside or level with sth,,Neutral
clangor,"a loud, resonant banging or ringing","Lt. clangere ""clang""",Neutral
pastiche,imitation of another work of art,"It. pasta ""paste""",Neutral
obdurate,stubbornly refusing to change one's mind,"Lt. durus ""hard""",Negative
intransigent,unwilling to change one's mind,,Negative
implacable,unable to be placated,,Negative
hidebound,unwilling to change due to tradition,originally referred to malnourished cattle,Negative
doctrinaire,imposing doctrine without regard for practicality,,Negative
mendacity,habitual deceit,"Fr. menteur ""liar""",Negative
beguile,charm or deceive,"Eng. guile ""deceive""; cf. guileless ""innocent""",Negative
inveigle,persuade by deception,,Negative
wheedle,persuade by flattery,,Negative
belie,misrepresent; give a false impression of,"make sth ""be a lie""",Negative
prevaricate,speak or act evasively,"Lt. pre-varicari ""straddle""",Negative
propitiate,appease sb; gain their favor by pleasing them,,Negative
aspersion,an attack on someone's reputation,"""cast aspersions on""",Negative
calumny,slander,,Negative
gainsay,deny or contradict,"""gain"" meaning ""against""",Negative
castigate,reprimand harshly,"Lt. castus ""chaste"" (cf. ""chasten"")",Negative
upbraid,scold or reproach,"OE up-bregdan ""jerk up""",Negative
opprobrium,harsh criticism or public censure,,Negative
excoriate,criticize severely,"Lt. corium ""skin""",Negative
objurgation,a strong rebuke or reprimand,,Negative
venal,corrupt; open to bribery,"Lt. venalis ""for sale""",Negative
profligate,recklessly wasteful,"Lt. profligare ""overthrow, ruin""",Negative
acquisitive,excessively interested in acquiring money,,Negative
spendthrift,a person who spends recklessly,spend all one's thrift,Negative
reprobate,an unprincipled person,often used humorously,Negative
abet,encourage or assist sb to commit a crime,"""aid and abet""",Negative
contravene,violate a law or rule,Lt. contravenire,Negative
abrogate,repeal a law; evade a responsibility,"Lt. ab-rogare ""away-ask""",Negative
inimical,tending to cause harm,"Lt. inimicus ""foe""",Negative
vitiate,spoil or impair the quality of,cf. vice,Negative
peccadillo,"a minor, unimportant sin","Lt. peccare ""sin""",Negative
effrontery,shameless insolence,cf. affront,Negative
pomposity,the quality of being pompous,,Negative
temerity,reckless audacity,"""have the temerity to do sth""",Negative
truculent,aggressively defiant,"Lt. trux ""fierce""",Negative
obstreperous,noisy and difficult to control,"Lt. strepere ""make noises""",Negative
fractious,unruly; quarrelsome,cf. factious,Negative
officious,asserting authority in an annoying way,,Negative
martinet,a strict disciplinarian,Jean Martinet was a French drill master,Negative
punctilious,excessively meticulous about correct behavior,"Fr. pointilleux ""finicky""",Negative
fervid,excessively enthusiastic or passionate,"Lt. fervere ""boil""",Negative
diffident,shy; lacking self-confidence,"Lt. dis-fidere ""not trust""",Negative
timorous,showing excessive nervousness or fear,"Lt. timor ""fear""",Negative
irresolute,not resolute; hesitant,,Negative
craven,contemptibly cowardly,"OF cravanter ""defeat""; Wes Craven",Negative
lassitude,physical or mental weariness,"Lt. lassus ""tired""",Negative
dilatory,slow; causing delay,dilating time,Negative
perfunctory,carried out with minimum effort or thought,,Negative
desultory,lacking a plan or purpose,"Lt. desultorius ""superficial""",Negative
soporific,tending to induce sleep,"Lt. sopor ""sleep""",Negative
somnolent,sleepy; tending to induce sleep,,Negative
enervate,drain sb of energy or vitality,Lt. e-nervare = remove sinews from,Negative
humdrum,monotonous; lacking variety,"En. ""hum""",Negative
bromide,"a trite, unoriginal remark",Bromide salts depress the central nervous system,Negative
hackneyed,trite and unoriginal,"En. hackney ""horse for ordinary riding""",Negative
prosaic,lacking poetic beauty; commonplace,"Prose, not poetry",Negative
insipid,flavorless; dull; vapid,"Lt. sapere ""taste""",Negative
prolix,tediously long or wordy,"Lt. pro-liquere ""outward liquid""",Negative
voluble,talking fluently or incessantly,"Lt. volvere ""roll""",Negative
garrulous,excessively talkative,"Lt. garrire ""chatter""",Negative
lugubrious,sad and dismal in appearance,"Lt. lugere ""mourn""",Negative
mawkish,sentimental in a feeble or sickly way,"ME mawk ""maggot""",Negative
bereft,lacking something; desolate,"past participle of ""bereave""",Negative
invidious,arousing resentment or envy in others,cf. envy,Negative
querulous,petulant; habitually whining,,Negative
prurient,excessively interested in sexual matters,as in having a mental itching,Negative
discomfit,embarrass; make feel uneasy,,Negative
dowdy,unfashionably or shabbily dressed,,Negative
callow,inexperienced and immature,"cf. Lt. calvus ""bald"" as in ""unfledged""",Negative
inchoate,not yet fully developed; rudimentary,"""an inchoate democracy""",Negative
parochial,having a narrow or limited outlook,"""limited to a parish""",Negative
impetuous,acting quickly and carelessly,"Lt. impetere ""attack""",Negative
astringent,acidic or bitter; harshly critical,,Negative
abstruse,obscure; difficult to understand,"Lt. abs-trudere ""push away, conceal""",Negative
penurious,poverty-stricken; miserly,"Lt. penuria ""need""; opposite of pecunious!",Negative
portend,warn of something bad in the future,"Lt. pro-tendere ""stretch forth""",Negative
presage,warn of something bad in the future,,Negative
ineluctable,unable to be resisted or avoided,cf. eluctable,Negative
recrudescent,breaking out again after a dormant period,"Lt. re-crudescere ""become raw again""",Negative
conflagration,"an extensive, destructive fire","Lt. flagare ""blaze""",Negative
relegate,demote to an inferior position,,Negative
incontrovertible,not able to be disputed; undeniable,"""incontrovertible proof""",Negative
